comments,star_rating,tags
Dr. Rorke can be very strict and very demanding on his students. This class teaches you so much-so it is worth it!,4.4,"strict, demanding, knowledgeable"
Don\'t take her unless you can teach yourself outside of class. she\'s a terrible teacer plus her monotone in 8am.. sigh.. not the best teacher.,3.0,"terrible teacher, monotone, not the best"
"Way cool guy, boring lectures, but the material is easily understood, if you have questions ask, if you didnt catch something he said ask him to repeat it, he is extremely nice and a great teacher",4.2,"cool, boring, easily understood, nice, great teacher"
"He was alright, some of the lectures weren\'t all that clear and sometimes he seemed a little unenthusiastic but not bad",4.0,NA
Excellent professor and human being. His level of knowledge is amazing and can deliver it through his teaching. Warning: He expects a lot and is not as easy grader!,4.5,"Excellent, knowledgeable, demanding, strict"
Skips through power point slides in lecturesthen doesn\'\'t go back to them but moves on to other power points. Doesn\'\'t say much towards slides. It\'\'s devastating how she doesn\'\'t give time to write down info from slides. All she says is it\'\'s on blackboard. How are we suppose to learn this way We pay to take the class. For what To teach ourselves,2.8,"unengaging, unhelpful, unorganized, disappointing, uninformative, unresponsive"
"Great stuff. She really knows her stuff and conveys it enthusiastically and compellingly. Not the easiest of graders, but fair ... easy on the eyes too!",3.7,"knowledgeable, enthusiastic, compelling, fair"
"Ok guy and an ok professor. The class is great and since he is the only one that teaches it you really have no choice. He knows what he\'s talking about and he tries to make it interesting. If you get into it, the class can be fun. It\'s easy no matter what.",3.3,"ok, great, knowledgeable, interesting, fun, easy"
"Loved her. She is a bit crazy - but in a good way. She genuinely wants her students to have a good grasp on the material. If she is teaching any other upper level PR classes while I\'m at UT, I will definitely sign up for them! Attendance isn\'t mandatory, but encouraged - she gives in-classes quizzes pretty often & they\'re worth a lot of your grade.",3.7,"Loved, crazy, good way, genuinely, wants, students, good grasp, material, upper level, PR classes, sign up, attendance, encouraged, in-class quizzes, worth, grade"
"I LOVE, LOVE, LOVE DR. SNIDER. He is so slick and neat. He is extremely helpful and makes chemistry so fun and easy to relate to. His take home tests will make you want to die, but other than that you will love your life if you take him.",4.7,"friendly, helpful, fun, relatable"
Incredible.,5.0,NA
"Although she clearly cares a tonne for her students, the teaching method can be a bit confusing. If you want to learn, she\xe2\x80\x99ll help you. Learn the midterm material perfectly because you won\xe2\x80\x99t have time to finish the exam (3 hr exam in 2 hrs). I actually would recommend her as she is reasonable, caring and available for meeting",3.9,"caring, confusing, helpful, recommendable, reasonable, available"
