comments,star_rating,tags
"Never noticed him goad or insult anyone. Very kind. Ultra-liberal. Comments on papers are helpful, but not exhaustive. His lectures are slow but informative because he pauses to think about what he is going to say. Friendly in and outside of class.",3.5,"kind, ultra-liberal, helpful, informative, friendly"
"extremely boring projects, not very knowlegeable, doesn\'t give much feedback or says it\'s fine and then grades tough. seems to like more traditional things.",2.5,"boring, not knowledgeable, minimal feedback, tough grader, traditional"
"Loved this professor, easy and right to the point. If you needed anything he was always there.",3.7,"Loved, easy, right to the point, always there"
mmmmmm,4.1,NA
"fairly cool teacher, but really into ecology. Be warned, the ecology is mindless busywork, today we counted how many mealworms were being bred in a mound by hand-2300. But she is by far the best and easiest of all the lab teachers",4.3,"cool, into ecology, mindless busywork, best, easiest"
Coach respects everyone\'s opinion. He encourages everyone to share their feelings. Love this class. I\'ll miss him.,4.3,"respectful, encouraging, caring"
She\'s a great teacher. She\'s very nice and funny. The books are easy reads and its very easy to get an A in the class. The essays are not bad. I recommend her for anyone taking any of her english classes.,4.7,"great, nice, funny, easy, recommend"
Really terrifying. Make sure you study for your lab quizzes and be prepared for her to be really harsh.,1.7,"terrifying, harsh, prepared, study"
"Was a very hard teacher, but very good. I learned a lot taking his class. He is a very good instructor and will work with you if you don\'t understand something.",4.7,"hard teacher, good, learned a lot, very good instructor, works with students"
Mr. Hood is the most incompetent instructor I have ever had.,3.1,incompetent
if you read you will pass then tests are a piece of cake and if you need help he\'s is always open to your questions he has ALOT of patience ! great professor!,4.1,"knowledgeable, patient, helpful, great professor"
"Mr. Trentham is one of the greatest teachers I\'ve ever had. If you show effort, he will help you as much as possible. He is very laid back and as long as you try, it\'s an easy class. :) I\'m making sure to sign up for his ACT 202 class, I can\'t imagine taking anyone else!",4.8,"great, laid back, helpful, easy-going"
"Mr. Hu is a very nice guy, but he\'s also one of the most difficult math professors I\'ve ever had. I struggled to earn a C, but Hu is very well organized and you can learn a lot from his lectures. Not recommended for the faint of heart but if you identify as a math geek and like a challenge then this is the guy for you.",3.9,"strict, organized, challenging, knowledgeable"
She\'s a very nice lady and she\'s a great teacher.,4.8,"nice, great"
i regret enrolling in this course. *not happy*,2.2,NA
"Re: Class size. Do you seriously think it is the prof\'s fault that the class is so large? And for those of you who complain about his by the book style, would prefer he not touch on the books in class, but test you on it anyways? Anyways, this guy is a great prof.",3.7,great prof
its hard to understand an instructor who dont speak english,2.5,NA
"Professor Young is amazing! I have always had a hard time with algebra, I made a C in pre algebra even! I dropped college algebra three times before finding professor Young. He speaks math to where I can actually understand it. Couldn\'t find a better math teacher!",4.6,"amazing, speaks math well, understandable, best math teacher"
"Has been teaching English for 30 years. Loves lit; constantly talks about the ""beauty"" of a passage--or how ""this one line is worth studying the entire semester for--seriously."" Compared to other lit courses, the reading is fairly light--about 2-4 chapters per class. But my first paper grade was a vague B+/A-, which you should expect a lot of.",4.0,"experienced, passionate, enthusiastic, insightful, light workload, high expectations"
this is the biggest farce of a class that i have ever seen. and how can it even be considered a class if it\'s always cancelled? nice prof. but not a good one.,2.5,"farce, cancelled, nice prof"
"AMAZING prof. One of the best I have had in a long time. Tries to connect everything to the students and encourages discussions in class. . Don\'t really need the textbook because he posts all the topics in his ppt slides, which is great. Readings are dry but if you go to the lectures, you don\'t have to do the readings, which is great.",4.5,"AMAZING, best, connects with students, encourages discussions, provides ppt slides, great lectures"
Way too much homework. Doesn\'t offer any extra credit. Very picky! Strict internet course timeline.,2.6,"strict, picky, too much homework, no extra credit, internet course timeline"
He\'s literally the coach Carter of english....,3.7,"coach Carter, english"
"Koene is great! She\'s hard enough to make you think and work, but she doesn\'t give you busywork that doesn\'t make sense to do. She also likes to help students and is very patient. Plus, she\'s had such an interesting life!",4.5,"great, hardworking, helpful, patient, interesting"
"If you have to take this class and dont want to have to study too much. Carter is the guy to take. If you want to really learn something though he\'s not the guy. Super nice guy, but just didnt feel like I learned alot from his class. If you take him, get ready for ALOT of corny jokes.",4.8,"friendly, not very informative, corny jokes"
"Great lecturer, clearly enthusiastic about film and her passion rubs off on students. Very clear, very helpful, all in all awesome prof!",3.7,"Great lecturer, enthusiastic, passionate, clear, helpful, awesome prof"
"I know he seems intimidating. It\'s easy. The key to this class is to do the work. People don\'t come to class prepare (ie do the readings) and then expect him to teach all the basics. It\'s simple. Do the work before class, challenge yourself by extra problems, ask the tutor if you have questions and you\'ll do fine.",3.2,"intimidating, easy, do the work, prepare, challenge, extra problems, ask the tutor, fine"
"Taken a million of his classes, and would recommend each one. Love him!",4.9,"friendly, knowledgeable, recommended"
