comments,star_rating,tags
she is a very nice lady and i understood her notes ... her quizes were easy but her tests left many people in the class with ots of questions ... i felt the tests were too hard and might bring down someones grade a lot.,4.5,"nice, understood notes, easy quizzes, hard tests, bring down grade"
"Nice but dry. Take notes, read text and you\'ll be fine.",4.0,"Nice, dry, NA"
No Comments,4.8,NA
the proverbial one trick pony. typical never built a thing professor.ask to see his work. its laughable...,2.7,"one trick pony, never built a thing, laughable"
"Not the worst teacher, but certainly not the best. She is lazy in class and skips a lot steps which can lead to confusion. Might be a language barrier thing but she almost seems condescending when answering in-class questions. Her teaching style is to show you the process rather than the theory, which is not always ideal. Not a teacher for everyone",4.1,"lazy, skips steps, confusion, condescending, process-oriented"
Fitzpatrick is a total valley girl that sounds like she has a 3rd grade education. Class was really boring. Watched old movies from the 70\'s/80\'s that didn\'t teach us anything. Had to write several papers. She\'s a stickler for APA format. She\'s overrated if you ask me.,4.4,"unprofessional, boring, uninformative, strict, overrated"
"great teacher and i learned alot, i love interaction it keeps me awake through the lectures. she is very fair on grades and explains everything very clearly",5.0,"great teacher, learned alot, love interaction, keeps me awake, very fair on grades, explains everything clearly"
"On the first day I was warned by other students.BUT I find him to be brilliant, thought-provoking, funny, and very engaging. People in my classes love him. I hate participating, but he challenged me in a great way. I\'ve been taking his courses ever since. Please don\'t slam the door. Be conscious - he is great. Period.",4.3,"brilliant, thought-provoking, funny, engaging, challenging, great"
"Does an outstading job only testing you on what you should have learned, labs are quite easy and lectures are very well paced.",3.7,"outstanding, well-paced, easy"
"Its unfortunate that a professor teaching a professional MBA program can be so incompetent. He came to class without any type of plan, and to make matters worse, he seemed to think it was perfectly acceptable to talk about himself the entire 4 hour class",1.5,"incompetent, unprepared, self-centered"
Very unwilling to help and when she did answer a question it was never the correct answer. She sets you up to fail.,1.0,"unwilling, incorrect, sets up to fail"
"shes a great teacher, shes very helpful and maker sure you understand the material. I would take another class with her again.",3.4,"great teacher, helpful, ensures understanding, would take class again"
Professor Julia Allen is a wonderful and also a knowledgeable person. She makes the class fun! We had debates on everything. If you are smart you will take her!!!! Last but not least...she grades on the curve!,3.5,"knowledgeable, fun, debates, smart, grades on the curve"
"Dr. Hardy is NOT for the faint-at-heart, immature or lazy. He expects you to catch on quickly, and is not going to baby anyone. If you do the work, you should pass. Also, he\'s not very helpful, so be ready to spend time in the tutoring lab",2.5,"strict, demanding, expects quick learning, not helpful"
"Unfortunately she is just not qualified to teach about the Middle East. Rather than providing students with knowledge they need to engage and combat the paradigms in question, she attempts to train them as activists. Perhaps this is because her knowledge base is in English Literature, and is seriously lacking in history and politics of the region.",4.0,"unqualified, lacking knowledge, English Literature, lacking history, lacking politics"
"A very specific grader but a great teacher. If you\'re looking for a teacher that actually cares and makes class fun, take Professor Betts. Yes awesome!",3.7,"specific grader, great teacher, cares, makes class fun, awesome"
Radhika is by far one of the worst teacher I have ever had. You MUST attend class everyday to take the participation assignments that are REALLY hard! The exams are impossible because they are completely based on the articles/textbook readings which are 30+ pages per night). DO NOT TAKE THIS CLASS!,3.5,"worst, hard, impossible, based on readings, DO NOT TAKE"
No Comments,4.1,NA
"Apparently, it IS possible to make con law dull and uninspiring. My advice is to bring something interesting to read, she won\'t notice...oh, and get the Emanuels, it\'s all in there (unfortunately)",3.8,"dull, uninspiring, NA, NA, NA"
Very unclear lecturer. He messes up the dates often and his lack of clarity makes it extremely hard to understand what he is lecturing about. I recorded lectures and still had problems figuring out what he was talking about. Exam was easy. He gives you 5 of the final multiple choice quesions at the start of each class.,2.3,"unclear, messes up dates, lack of clarity, hard to understand, easy exam, gives questions"
"Great teacher, take notes and be involved and you\'ll pass.",4.7,"Great, teacher, involved, pass"
"This is class is pretty easy but very boring. His class lectures are pointless and you don\'t need to take notes because they give you no information needed for exams,quizzes.He is a hard grader but i find it hard to believe anyone could fail this class.Everything is out of the books and he lets you do all your work at home prior to exams,quizzes.",3.1,"boring, pointless, hard grader, easy, out of the books, independent work"
"took as a gen ed. requirement. She is very nice, the lectures gets a little boring and she asks that you dont take notes in her class. The midterm and exam are easy, her study guide has the actual answers on the test. Two papers that you write, but shes an easy grader. *would recommend for those who have to take as a gen ed***",4.8,"nice, boring lectures, easy exams, easy grader, recommended"
he is a GREAT teacher. irrational behavior is interesting to begin with but he makes it even more enjoyable. he tells jokes all the time. very easy to talk to. gives you more time when needed on assignments. i think he grades very fairly. you do the work you get the grade you deserve.,4.1,"GREAT teacher, irrational behavior, interesting, enjoyable, jokes, easy to talk to, more time, assignments, grades fairly, work, deserve grade"
