comments,star_rating,tags
The easiest teacher you will ever have.Everything that he repeats 3 times is a test question.You have to do an oral report which sucks.But ooverall an easy A.You can be braindead and pass!,4.5,"easy, repeats information, test questions, oral report sucks, easy A, braindead pass"
Very good professor. Always willing to talk outside of class. His exam was tough as expected but he gave us one of the essay questions in advance so that was more than fair. His true/false and multiple choice questions were tricky though.,3.0,"good professor, willing to talk, tough exam, fair, tricky questions"
"His lectures are awful! He\'ll go on these long rants about random things, and half the time you won\'t know what he is even talking about. His tests are HEAVY on material, very tough to study for. The one thing I did like about the class is the analysis paper we wrote.",3.9,"awful, long rants, random, tough, analysis paper"
"She\'s young and spunky, a little chatty and a tough grader! Class is fun because she\'s so charismatic. She has lots of activities that make you comfortable speaking in front of the class so the ""big"" speeches aren\'t so intimidating.",3.3,"young, spunky, chatty, tough grader, charismatic, comfortable speaking, intimidating"
"Midterm, Final, & Paper. Paper is extremely easy, emphasize the extremely. Midterm & final are both open notebook & book. Come to class & write down EVERYTHING he says. Highlightunderline the ones that he says will be on the test. Print out the class lecture notes instead of copying it from the screen. Stay for the movies, q\'s will be on tests!",4.6,"easy, emphasize, open notebook, open book, highlight, underline, lecture notes, movies, tests"
"I can see how a disengaged student filling requirements might be bored... critical thinking can\'t be terribly exciting to teach to bored/boring students, either. If you are interested in philosophy and want to study with a deep, imaginative, and methodical professor, he\'s your man.",2.7,"deep, imaginative, methodical"
You will have him if you are a Bio/BMS major and you\'ll wish he taught every course. He\'s the man. Really cares about the students.,4.8,"knowledgeable, engaging, caring"
"Coop is an ass, but he knows it. I think he\'s just decided to run with it. Feel free to make fun of him he seems to enjoy it! The class isn\'t bad but you need to do some thinking on your own.",4.0,"sarcastic, confident, humorous"
"Extremely easy class, just do the work. Dr. Wall is really nice and knows what she is talking about. Assignments were not hard unless you\'re not good with technology. A lot of group projects.",4.4,"easy, nice, knowledgeable, group projects"
"She is one of my most favorite profs EVER. She\'s very warm and engaging, likes to teach the material in a fun and interesting manner. I\'d gladly take many more classes with her!",3.6,"warm, engaging, fun, interesting"
"Professor Phillips is TERRIFIC! She loves biology and cares about her students. She is knowledgeable and will try to explain things so that you can understand. Everything is posted on Bb, so if you miss a lecture, you won\'t get too lost. I enjoyed the labs and videos. I highly recommend!",4.1,"knowledgeable, caring, terrific, highly recommend"
