comments,star_rating,tags
"Im TERRIFIED of public speaking and after this class i cannot say I am less so, but Mr.B is a caring prof who really wants you to do well! The comments saying to just try aren\'t wrong, he\'s an easy grader and I should have gotten a B cause of my exam scores but ended up with an A anyways? Also happened to a friend of mine. Just try and you\'ll pass.",4.7,"caring, easy grader, supportive, encouraging"
"THIS PROFESSOR IS SOOOO NICE AND HELPFUL. HE TELLS YOU WHAT IS EXPECTED OF YOU, AND ALSO HIS MIDTERM AND FINAL ARE BOTH TAKE HOME ESSAYS. JUST PAY ATTENTION AND DO THE WORK AND YOU WILL PASS.",4.4,"friendly, helpful, clear expectations, take home exams, attentive"
"Takes time to answer questions, eight am is too early though for any class. Otherwise a great teacher.",3.9,"patient, knowledgeable, great communication skills"
"I learned a lot in this class. Honestly, if you\'re a pre-med, you need this class. He teaches on the med school level. He is hard, but if you put in work you WILL make an A. He had sunday sessions and after class coffee sessions. No professor puts in this much effort to help his students. Go to everything, make you get to know him, and you\'ll live.",3.1,"dedicated, high expectations, supportive, helpful, engaging"
No Comments,2.4,NA
"Professor Milburn\'s lectures can at times be dry (due to his sometimes monotone voice), but if you are interested in psychology, there is no way to make this subject boring. His exams are easy, IF you do the online quizzes, which have all the answers in them. Most of the class got C\'s, but that\' due to poor work ethic, he provides the way to an A!",3.2,"dry, monotone, easy exams, online quizzes, poor work ethic, A opportunity"
Warden\'s mind is sort of like a lottery ball machine... every now and then a ball will come firing out with a small piece of information but never in a sequential order. Nice guy though.,3.4,"quirky, knowledgeable, friendly"
"Intro to Media Studies, great class. Lectures online, doesn\'t take attendance, but go to recitations because they do help with understanding some of the more complex articles!",3.8,"- great class, lectures online, doesn't take attendance, recitations helpful, complex articles"
I took his Native American history class for credit and enjoyed it so much that I came back for US Hist. Dr. Boucher is an awesome teacher and I genuinely learned a lot from him,4.3,"knowledgeable, engaging, awesome"
"Hybrid class, meets only 6 times in physical class. You will have an assignment due every weekend on blackboard. Somewhat of a tough grader, expects a lot from you. not a bad professor though. relates a lot of real world things/music.",3.7,"Hybrid class, tough grader, expects a lot, not bad professor, relates real world things/music."
Great teacher!,3.0,"Great, teacher"
"This guy is a great teacher. He explains the work clearly and all you need to do is write 2 essays, which he works with you, complete a few worksheets over the semester and pass the final. I highly recommend Mr.O\'Brien.",4.5,"great teacher, explains clearly, works with you, highly recommend"
One of the best prof at Seneca. Shes so nice and easy marker,3.9,"best, nice, easy marker"
SO confusing! And the tests are excruciating. Likes to hear himself talk.,3.6,"confusing, excruciating, likes to hear himself talk"
"She is a great woman with lots of experience in this field. You can know so much new and important stuff in her class, just by listening a lot and keeping your mind open. The class is not difficult, but very interesting. I do RECOMMEND to take this class, and I do RECOMMEND Margaret! She is very knowledgeable and nice!",3.6,"knowledgeable, experienced, great, recommend, interesting, nice"
She is the best. She is easy and funny. It s really easy to get an A in this class. There are 2 homework in this class and one project they r easy to do. There r 2 tests and she gives u the study guide for them. I highly recommend her,4.8,"best, easy, funny, easy to get an A, easy to do, study guide, recommend"
No Comments,4.0,NA
quite possibly the most arrogant professor i have ever come across. don\'t screw up in front of him - he just loves to make you look stupid.,1.8,"arrogant, strict, intimidating"
"Prof. Curtis is one of the my favorite professors I have taken thus far. I took his class 8:15 in the morning, but it was the best. He is very wise. No textbook, no mid-term or final...just a 1 pg paper every week pertaining to drug/alcohol, and a 6-8 final paper. He is one of the funniest people I have ever met, you will def enjoy his class.",5.0,"favorite, wise, no textbook, no mid-term, no final, weekly paper, funny, enjoyable"
"Great Class, Loads of Information So get organized! Lots of Formulas so brush up on some algebra... Just do your work on time & attend every class. Feel free atr ask for help, Zentz prefers people to get help ahead of time, out of class. You will learn alot in this course so dont get behind. Good Luck",3.2,"Great Class, Loads of Information, get organized, Lots of Formulas, brush up on algebra, do work on time, attend every class, ask for help, prefers people to get help ahead of time, learn a lot, don't get behind"
Rebecca Comay is eloquent and brilliant. Her instruction in the Hegel course got me far beyond my expectation. The bitterness towards her coherence must be from some combination of a reluctance to read and a small vocabulary.,3.3,"eloquent, brilliant, instruction, Hegel course, expectation, bitterness, coherence, reluctance, read, small vocabulary"
No Comments,4.5,NA
Generic intro course lectures. I found them interesting and useful for classes I have taken since then.,2.5,"Generic, interesting, useful"
Ms. Usyk is a wonderful teacher. I had a self-paced course and she was always willing to help you anytime you need to. She is also a very nice person.,3.2,"#wonderful, #helpful, #nice"
"if its not Greek its not that important. hey can you guys see this slide? oh forget it it doesn\'t matter (asian arch.) spends 10-15 fixing lighting in order to show greek arch. quote: ""these people blah blah.. This is grotesque"" very closed minded inconsiderate.but he may be a good design professor.",4.6,"closed-minded, inconsiderate, good design professor"
"Prof. Shangraw will come at you like a raging hawk in the very beginning of each semester. Don\'t worry, he gets better as you get through the program and will eventually be a nice guy to know and learn from. He is very smart and loves BLUF, Bottom Line Up Front, and will tell you exactly what he wants for each assignment.",4.1,"smart, demanding, improves, direct"
GREAT!!! I took his class over the summer at Moorpark college and kept up with him just fine. He gives real-life applications of the material throughout his lectures & exams. Has a traditional teaching style & provides book problems for help; I did better only going off his notes. Write your notes neat enough to follow along when you REWRITE them!,4.2,"GREAT, real-life applications, traditional teaching style, provides book problems, neat notes, REWRITE"
He\'s a good teacher but there isn\'t enough time to study for that much information when you have family and kids he\'s really critical on studying and test aren\'t what you think you don\'t really know where the exam is coming from he doesn\'t give reviews or study guides,3.5,"good teacher, critical, lack of time, excessive information, unexpected exams, no reviews, no study guides"
"Shane\'s a hilarious teacher, he always wanted to take the time to help out students do the best they could. If you try in this class its an easy A.",3.7,"funny, helpful, supportive, easy A"
"Pro:1.Knowledgeable about some aspects of US History 2.Makes lectures interesting 3.Usually friendly Con:1.Clearly liberal(I can\'t even tell if separating fact from opinion)2.Tough Class&High dependency on notes 3.LOTs of reading 4.Having background in history is nearly necessary 5.Disorganized manner, thought, speech and writing",3.2,"knowledgeable, interesting lectures, friendly, liberal, tough class, high dependency on notes, lots of reading, background necessary, disorganized"
incredible teacher and unbelievable researcher...he has great insights!,5.0,"incredible, unbelievable, great insights"
It is a pretty easy class. She gives you exactly what you need to know on the tests. As long as you attend class and take good notes you will pass the class.,4.2,"easy, helpful, organized, informative"
All I can say is she is the best. I will recommend everyone to take her class.,3.8,"best, recommend"
Overall interesting class. Take if you need to raise your GPA. Pay attention and turn in your assignments. Give effort in this class and you should get a A or B.,4.8,"interesting, raise GPA, pay attention, assignments, effort, A or B"
No Comments,3.0,NA
"I\'m currently in this class and it sucks. Its friggin health class so it should be easy, and I shouldn\'t have to try gah dammit!anyway... I studied for the last test and didn\'t do so well, even with a study guide. It\'d be more helpful to know exactly what\'s on the test. Wellness project is easy tho.",4.1,"difficult, unhelpful, frustrating, easy"
This guy is very interesting. His lectures aren\'t really helpful when it comes to the tests. With that said he gives a lot of extra points during class so showing up is a good idea. If you read the book it\'s an easy A. He does have a tendency to drone on about himself but the stories are pretty funny (and almost unbelievable).,4.3,"interesting, not helpful, extra points, easy A, tendency to drone on, funny, unbelievable"
I loved this class! Jans is very flexible and open-minded. She just wants to help students learn. Take her class!!,4.5,"flexible, open-minded, helpful"
Professor Raj is an all around good professor. He is clear and you will understand the material. His tests are not easy but they are not overly difficult if you pay attention. I would recommend him for DBC.,2.4,"clear, understanding, recommend, good"
Talks very quietly and drones but what he\'s saying is easy to understand. Which is good for me since I suck at econ. He\'s very patient and explains what he wants out of you so it\'s not hard to get good grades. Very nice to students so long as you are nice back.,3.4,"quiet, easy to understand, patient, explains well, nice to students"
"Todd is the best professor i\'ve ever had (like many other students here). I honestly believe he is a complete genius. His lectures are absurdly interesting (and laugh-out-loud hilarious), his assignments are relevant and reasonable, and his ability to relate complex information is unparalleled. Todd has changed my life and i couldn\'t be happier",4.5,"best professor, complete genius, absurdly interesting lectures, laugh-out-loud hilarious, relevant assignments, reasonable assignments, unparalleled ability to relate complex information, life-changing"
No Comments,4.5,NA
"Dr. Dunn is an AMAZING professor! She wont give you the class on a silver platter, but when all is said and done you will be very grateful. Heres a hint: she emails the slideshows to you, so take notes on what she says, not whats on the slide. Also, make sure you ask questions! It will help you remember! I promise",3.7,"AMAZING, grateful, emails slideshows, notes, ask questions, remember, promise"
"He was a really good teacher, it could get boring but he let us out early alot and if you do all your work you should do fine.",3.7,"good teacher, boring, lets out early, fine if you do work"
Apparently for a beginning classical guitar class you must have been playing and know to read music. I took it for winter intersession for an intro guitar course but from day one he already has the intention of weeding out those who can\'t play. I\'d suggest avoiding him if you\'re trying to learn it for fun.,4.8,"strict, discouraging, high expectations, weeding out"
"he is a nice guy and his class is pretty fun. he is a really tough grader though. if you can, take a different teacher for english. i had Professor King for english 2 and did much better than I did in english 1 with zorn",4.2,"nice, fun, tough grader, better"
the best damn teacher ever!!!She makes algebra so understandable!!,4.7,"best, damn, teacher, algebra, understandable"
"He is willing to chat about the material and help you. However, half the time his answers don\'t make sense. Course has 3 non-cumulative midterms, a group presentation and the take home final is two essays. He can be frustrating and unclear but good lecture overall.",3.0,"willing, help, answers don't make sense, frustrating, unclear, good lecture"
This professor gave wayyyy too many assignments. We had several repetitious assignments within the first week. I do not like the way he organizes his work on blackboard. He is just a confusing professor overall. I would not recommend taking him........,3.4,"assignments, repetitious, organizes, confusing, not recommend"
"Tough class I will have to say. Professor is very vague, and all of the studying is up to you....no hints at all as to what will be covered. So basically you have to know every word in order to get a good grade. Tough, but I have learned A&P.",2.6,"Tough, vague, independent study, no hints, challenging, learned"
"Class structure is great honestly; just do the online homework, exams, and papers. If you try to speak with her outside of office ours (even if it\'s before or after class) she won\'t talk to you and is quite rude about it. Feedback through e-mails are short and obviously rude. Lectures and PowerPoints are very non-specific and all over the place.",4.2,"great class structure, online homework, exams, papers, rude, short feedback, non-specific lectures, disorganized PowerPoints"
BEST PROFESSOR EVER! she genuinely cares about giving you an education instead of just helping you simply pass the class. She is funny when necessary and is all around such a great human being. If you respect her and listen to her lectures and do your work you will pass. Definitely will take this class again 100x over,3.8,"BEST PROFESSOR EVER, genuinely cares, education, funny, great human being, respect, lectures, pass, take again"
you really know your stuff,4.7,knowledgeable
she seems really nice so far.. i think i\'ll like her...,5.0,"nice, like"
"She is a good helper when you ask her any questions. She spend a lot of time explaining any math problems that you do not understand (if you come to her office). She requires a lot of work from you. Overall, she\'s great.",3.5,"helpful, patient, dedicated, great"
Likes absolute control.,4.0,control
He\'s an amazing prof. He\'s supportive and helpful. He\'s extremely challenging but he does it in a way that you actually want to work hard and make him proud of you. Excellent guy.,4.4,"supportive, helpful, challenging, excellent"
"If you have to give the class a revised textbook, how about a revised quizbook? Cons: BORING, opinionated, mumbling, subject-changing.Pros: very knowlegable, nice guy.",2.8,"BORING, opinionated, mumbling, subject-changing, knowledgeable, nice"
Mr. Shirani is one of the few teachers that gives out very helpful study guides so you know what to study for on the mid/final. 4-5 Homeworks assignments throughout the sem. no group projects. For mid/final study the study guide and in class exercise and you will do fine(write a good cheat sheet)You don\'t have too show up to class.,3.5,"helpful, study guides, homework assignments, mid/final study guide, in class exercises, cheat sheet, independent"
Amazing man!!! Anyone who has been out of school a while should take him. And he is very pleasing on the eyes:),4.9,"Amazing, knowledgeable, engaging, charismatic"
"creative leadership seminar. Absolutely aweful. Class was tense and stressfull as she was always yelling at peoplein front of the class, making people cry, and over all being very offensive. She\'d take anything the wrong way and start yelling at the class. Didnt learn anything, especially not about creativity or leadership.",2.4,"yelling, offensive, stressful, tense, aweful"
"I\'m taken his next semester for TWO different classes. No test, and lot of movies. He is Great, lay back over all a very good teachers. You will not fail",4.7,"Great, laid back, good teacher, will not fail"
"Awesome. Very knowledgeable, has a clear plan of where she wants to go with the class. Concentrates a lot on radio in the beginning, so expect a lot of historical readings. Very good about answering questions and clarifying when you are confused. Highly recommended.",4.0,"knowledgeable, clear plan, historical readings, answering questions, highly recommended"
"An amazing professor. Very soft-spoken, genteel woman... well-read, open, able to talk intelligently and knowledgably about everything. On top of all of that, she\'s a wonderful person, too!",3.7,"amazing, soft-spoken, genteel, well-read, open, intelligent, knowledgeable, wonderful"
"She is the best ever, she is a true guru of statistics. She has great advice and is very pleasent in sharing her knowledge. Take if you are up for a challenge, her classes will make you a better person.",4.4,"knowledgeable, helpful, challenging, inspiring"
"Great teacher, was able to learn. They provide labs that you need to do. Do those and you can basically pass.",4.2,"Great teacher, able to learn, labs, pass"
"Tony is a competent professor. His lectures are understandable and he answers questions in a mostly clear manner. However, one thing that was annoying to me was how he bragged every other week about his amazing ratings on this website, and the awards he got from the school because of them. No offense, but he certainly does not live up to the hype.",4.8,"competent, understandable, clear, annoying, bragged, amazing ratings, awards, hype"
Richard Shockey is a hottie!,4.8,hottie
Prof. Spears is by far the BEST professor/instructor/teacher I have had in my entire University experience. He was always so excited to start the lecture and actually cares about what he is teaching students. I\'ve taken two classes with him already and plan on taking any more that I can in my last year. Highly recommend taking any class he teaches,4.5,"excited, cares, best professor, highly recommend"
"Great class- I learned A LOT! Tests are VERY comprehensive, both from the lectures and the book. A challenging class but well worth it!",3.8,"Great class, learned a lot, comprehensive tests, challenging, well worth it"
Honestly he\'s a great professor. He\'s not bad at all. All you have to do is show up to his class and listen. What he teaches in class is whats gonna be on the test. study his notes and read the sections he assigns in the book! i got an 84 on the first test and a 96 on the second. havent taken the final yet. To get an A just understand the material,3.1,"great professor, not bad, show up, listen, teaches well, test material, study notes, read sections, high test scores, understand material"
Lots of experiance,3.0,experienced
"I wouldnt call this a class because it is not really a class. Students basically teaching themselves. Weekly quizzes from questions at the end of the book. Exams are tough, but he gives a great curve. Read the BOOK, or else you will struggle with the exmas.",3.3,"tough, great curve, NA"
VERY EASY!!!! and nice to look at.,3.3,"easy, nice"
"Always go to class, the points can bring you down if you miss. The quizes can be hard, so read your book (don\'t bother trying to google, won\'t find many answers). She is very helpful so ask for help.",4.0,"helpful, strict, challenging"
"LOL, all the bad comments came from FROSH taking Bus 111. I took 2 classes with Tim, it\'s not easy, but I learned and survived. I graduated and appreciate him very much now. He cares about students and wants them to be independent by learning on their own. It is his job to maintain the quality of MIS grads. He\'s one of the best professors at SJSU.",3.3,"caring, challenging, independent, quality maintainer, one of the best"
"Super awesome at everything concerning literature, feminism or the Middle East. Great at explaining assignments in multiple ways if you hare having trouble understanding what she is looking for. Excellent feedback on all writing. All around great!",4.0,"knowledgeable, excellent feedback, great explainer, great mentor"
One of the most knowledgeable and caring professors ever!,4.8,"knowledgeable, caring"
His lectures make no sense but you never have to show up to class. He only gives a midterm and final and as long as you get the review he gives out the class before youll do fine. He uses the same exact questions on the midterm and final as the review with different numbers. he leaves the room during the test and the class takes the test together,3.4,NA
"he\'s a gentleman. makes learning a new language like c++ very easy, which infact could be very difficult. Extremely helpful and nice guy. his jokes are not funny at all. take 113 with him",4.2,"gentleman, easy learning, helpful, nice, not funny"
No Comments,4.8,NA
Biology of Science Fiction Spring Semester 2002 Rocked!!!! Such a nice prof. and the class was so fun! Big ups to the talent show! We rocked! One of the most fun and interesting classes I\'ve taken and I\'m not a bio person at all! ~~LL~~,3.6,"nice, fun, interesting, talented"
