comments,star_rating,tags
"I was bored out of my mind. It was a night class and I couldn\'t stand it. So, obviously I am not going for that anymore. I would recommend not missing any classes because you WILL get behind.",3.0,"bored, night class, couldn't stand, not recommended, get behind"
"had her for 101 and liked her, everything you do counts for grade in that class making it easy, online assignments are easy, very nice and helpful, come to class, do homework, it\'s hard not to do well in the class, best span prof I\'ve ever had",4.8,"friendly, helpful, easy grading, engaging"
"Great guy! Very disorganized at times, but his humor tries to make up for it. Gives GREAT study reviews for exams. Highly recommended.",3.9,"Great guy, disorganized, humor, great study reviews, highly recommended"
"Interesting professor and class, not for the easily offended. Come to class, do as he ask, participate in class and you will get an A. He treats you like college students, not like high school students. Loved his class.",4.0,"interesting, not for easily offended, treats like college students, loved"
"Mrs. Phillips was not the best at getting back to you on time via email, but if you stayed after class to talk, she is more than willing to hear you out and fix any problems your having.",4.1,"unresponsive, helpful, accommodating"
Lectures are always interesting and well organized. Likes class participation but it doesn\'t guarantee you a good grade. Tough marker but her suggestions will make you a better writer. Be prepared to put a lot of work into assignments if you want to do well. Essay/exam topics come directly from class discussion so read the books and go to class.,3.1,"interesting, well-organized, tough marker, suggestions for improvement, class participation, requires effort, class discussion-based, book reading important"
"He is a very nice teacher, you can get an A if you pay close attention on what he is really asking you to make/design. This was a very fun and cool class.",4.6,"nice, attentive, fun, cool"
"Dr. Tromp is wonderful. she will challenge you, but especially if you are thinking of graduate school or honors project, take classes with her!",4.4,"#wonderful, #challenging, #encouraging, #recommended"
"I loved evolution with Bro. Zenger. The subject matter itself is pretty easy. Just read from the text book, and discuss in class. There is a very large paper you have to write, which is a lot of work, but you get to choose what you write about, so that helps. Bro. Zenger is a great teacher and he cares deeply about his students.",4.1,"loved, easy, large paper, great teacher, cares deeply"
She\'s pretty cool. I learned a lot and she\'s really nice and helpful.,4.9,"cool, learned a lot, nice, helpful"
"Coleman is challenging. Students basically argue for a whole 2.40 hours. Other will say that he is not worth putting up with. He does come off as belittling, so if you are up for a challenge, take this class. If not, avoid it because you will be put on the spot. Other than that, he has a lot to say and numerous interesting, heart wrenching stories.",2.9,"challenging, belittling, interesting, heart-wrenching"
"This prof talks to you like you are a child of 7, not an adult of 19 -20. It\'s a joke. Haven\'t been in something so juvenile since 2nd grade. Insulting. Didn\'t learn a thing from her. Good thing students do her job for her. She doesn\'t seem to respect students enough to talk to them as adults. I don\'t pay thousands to be treated like I\'m 7. Avoid.",3.6,"insulting, juvenile, disrespectful, avoid"
"Love this guy. The American West is a very interesting course however. His class is solely based on readings and discussion. Make sure you read read read, and you will do fine.",4.3,"Love, interesting, based on readings, discussion, read, fine"
Dr. K is a great professor. If you have the opportunity you should take him. Keeps the class engaged and respects all of his students. He teaches you life lessons I don\'t think you\'ll find in any other class at DePaul.,4.8,"great professor, engaging, respectful, teaches life lessons"
