comments,star_rating,tags
"Tests: extremely difficult, unless you actually memorize each of the 80 definitions she hands out for you to look up. The tests also have little to do with class discussions. Homework: read 100 pages a week. Her attitude: standoffish, does NOT understand this is a gen. ed. i\'m a studio art major, which means more time consuming work than most oth",3.4,"difficult, memorize, definitions, little to do with class discussions, standoffish, gen ed, studio art major, time consuming work"
SHE IS AWESOME. I LOVE HISTORY AND SHE MAKES IT ALL THE MORE FUN TO LEARN! NO BOOK NEEDED...MONEy/ TIME SAVER!,4.9,"awesome, fun, passionate, engaging, knowledgeable"
"Great prof. The material is lengthy but easy. Don\'t leave the studying to the end, it is alot to cover!",4.5,"Great, lengthy material, easy, studying, alot to cover"
"Horrible professor, graded unfairly, will give you the same grade for projects based off your first project grade... bias toward girls.. terrible experience with her for building tech...",3.5,"Horrible, unfair, biased, terrible"
No Comments,3.1,NA
Great professor. He is ALWAYS willing to help no matter what. He is definitely one of the best English professors that TCC has to offer.,3.7,"Great, ALWAYS willing to help, best English professor"
"One of the better teachers in the school. Very willing to help and can explain things in different ways. Large amount of busy work, but tests are basically given from past tests which he posts. Also very funny and acts like just one of the guys.",3.8,"helpful, explain well, funny, approachable"
"Johnston is the sort of teacher that probably should have retired twenty years ago. His classes are great if you want to listen to him complain about his personal life for an hour and a half, but if you actually want to learn something, you better find another teacher. He doesn\'t have clear grades and isn\'t very articulate either.",3.9,"retired, complain, personal life, learn, clear grades, articulate"
"Excellent lecturer, gets you engaged and makes sure you leave class having learned something. Attendance is mandatory but you don\'t have to participate. Unfortunately, she has ridiculously difficult exams and a luck-based bonus system, which drags down your GPA. Other professors for the same course will have easier exams.",3.8,"Excellent lecturer, engaging, makes you learn, mandatory attendance, difficult exams, luck-based bonus system, drags down GPA, easier exams by other professors

Tags: Excellent lecturer, engaging, makes you learn, mandatory attendance, difficult exams, luck-based"
Dreadful...Absolutely dreadful course.,1.6,"dreadful, course"
the best professor ever!! was very laid-back when it came to assignments...if we neede more time..he would give it to us!!! I LOVE YOU PK!!,4.8,"best professor, laid-back, assignments, more time, love"
No Comments,4.0,NA
"This class was very boring, and she was trying to go over everything without any clarification. She was so focused on getting it done rather than making sure we actually learned the material.",3.0,"boring, lacking clarification, focused on completion, not ensuring learning"
Very sweet lady! Genuinely concerned about her students. Highly recommed!!!,2.3,"sweet, concerned, highly recommended"
"You will LOVE this teacher! Very funny, and you can tell he really know his stuff. His lectures are very easy and fun to listen to. Many time he will hint out the mid term/ final answers during the lectures, so prepare! Your grade will be based of a mid term, essay, and a final. The tests are open notes/book, so don\'t sweat! Easy A, take him.",4.6,"funny, knowledgeable, engaging, hints, easy A"
"incredible professor! funny, sweet, and interesting. i admired him so much we were friends outside of the classroom. he doesn\'t belittle students, but he demands attention. it\'s about respect. he needs to do his job, you need to earn your grade with knowledge. my favorite professor in my 6 years of college. would love to get in contact w/ him again",4.9,"funny, sweet, interesting, admired, friends, respect, demands attention, favorite professor"
Very challenging (in a good sense) and very thought provoking!!!!,4.6,"challenging, thought-provoking"
:(:(:(:(,2.4,NA
"Got her for beginner swimming. Shes really helpful, at first I was afraid to even fully submerge my head, but she will work with u every step of the way. By the end of the semester I was diving! Shes not always crystal clear but u get the general idea of what she wants. obv dont get rude, cuz she can be too, which is fair. dont miss too many classe",3.3,"helpful, supportive, encouraging, fair"
"I was in Dr. Hall\'s class for two semesters of Excursions. Got into a lot of subject matter you wouldn\'t classify as ""math."" Wouldn\'t call it easy, but wouldn\'t call it hard either. Although there\'s usually one hard test per semester. But the quizzes every Friday can pull up your grade.",2.5,"knowledgeable, engaging, fair, challenging"
GYM is AWESOM!! He let us play games in class and let us joke about his white head! We played on a console pretty much everyday!,4.2,"fun, interactive, approachable, relaxed"
