comments,star_rating,tags
"Professor Fogel is simply the greatest. He is so incredibly knowledgeable, but not intimidating at all. He is super-helpful during office hours and in e-mails and is always willing to meet with students even if it means coming outside his office hours. He is tough, but so open to hearing other students\' ideas. So glad I took his class!",4.0,"knowledgeable, approachable, helpful, open-minded, dedicated"
"Really good teacher, tests aren\'t that hard, just a lot of material to go over. Pretty funny guy.",4.2,"good teacher, tests aren't hard, funny"
"class is more like a book club, class was huge (about 100+ people). he\'ll call you out for talking or leaving early so dont do it (he\'ll actually stop class until you contribute). you learn a lot from the cultural events you attend. its hard to get into the grove of writing 2-4 pages a week in blogs because he wants them done a VERY CERTAIN WAY",3.6,"book club, huge class, calls out, contributes, cultural events, writing difficulty, very certain way"
"Tom is the greatest of all time. The number 1 teacher I\'ve ever had. A bit out of the norm but, ask him what the norm is and he\'ll tell you it\'s all about the chairness! Truthfully the most inspiring man of my life -Dean (where are you)",4.8,"inspiring, greatest of all time, number 1 teacher, out of the norm, chairness"
Excellent teacher.,4.5,"Excellent, teacher"
His lectures put me to sleep. He needs to be a little bit more exciting ...,3.9,"boring, needs improvement"
"If you have a full time job, and are taking three classes, do not take her class. The only people who have time for 3+ hrs of studying per night are running start students who have no bills or other classes! She barely responds to emails& You will not know your grade until the report after the final. Do not take this class!!",3.4,"unresponsive, overwhelming workload, delayed feedback, discouraging"
"Dr.Greene is my favorite teacher at USM so far. She really makes you think from a different perspective. She is very opinionated, and not afraid to tell you hers. Same as all of the other comments do NOT make her mad!",4.0,"favorite, makes you think, different perspective, opinionated, not afraid, mad"
"She\'s a very nice and pleasant woman and easy to talk to. Her class can get a little boring at times (too many group presentations, it gets old fast) and there\'s daily homework assignments, but the subject was actually pretty interesting. You\'d think comm. theory would be boring but it is so applicable to real life that it\'s interesting to study.",3.6,"friendly, approachable, boring at times, too many group presentations, daily homework assignments, interesting subject, applicable to real life"
"This guy could cut class with his Adonis like stature, if you know what I am saying. Good teacher, very clear with instructions and just as helpful. I took two exams and did my homework. Homework is not graded, but it will help you in the long run. Hardest nips this side of the Mississippi!",4.7,"funny, helpful, clear instructions, good teacher"
his teaching style is super cool. he is very warm and kind man.,4.4,"cool, warm, kind"
"Tough class with a lot of material. Although much of it is dry, you will learn a lot, probably more than you should in a single 10 week class. Tests are straightforward and follow the reading she assigns.(which is a ton)",2.8,"Tough, dry, learn a lot, straightforward, ton"
morna knows what she is talking about and has alot of knowledge in the design industry. She may not be as forceful as other teachers but she still helps out if you ever need it and will work with you outside of class which alot of other teachers don\'t do. I would recomend her for design 1or 2!!,2.3,"knowledgeable, helpful, accommodating, recommended"
ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ!,2.4,NA
"DO NOT TAKE.I switched into her class and not only is she a hardcore feminist that only gives women a chance, she is a really tough grader. She also doesn\'t care about her students (again, unless you\'re a woman passionate about feminism). Do NOT take her. She will have you rolling your eyes as she complains about male privilege.",3.3,"hardcore feminist, tough grader, doesn't care about students, complains about male privilege"
I took all three of his classes. They are pretty difficult... however he is VERY helpful and will even help you with the questions during the test (sometimes gives answers). I would recomend him to anyone!,4.2,"helpful, recommend"
No Comments,2.5,NA
"Prof. Topping is a great instructor who cares about her students and wants them to succeed. Show up, do the work, show interest in the subject, and you\'ll get an A no problem.",5.0,"great instructor, cares about students, wants them to succeed, show up, do the work, show interest, get an A"
awesome,4.5,awesome
"He\'s ridiculous, puts things on tests that he never goes over in class. Tests VERY unfair.. basically by the end of the semester you\'ll hate him intensely, so just save yourself the trouble and don\'t take anything he\'s teaching.",3.2,"ridiculous, unfair, intense, hate"
"This lady is crazy! I took her for calc 3 expecting it to be not as bad and boy was I wrong! She makes no efforts to make sure her students succeed, hammers everyone on grading, and her tests are impossible. Not to mention the racist rant she went on in the middle of my class. She can explain it well but other than that she\'s awful. Stay away!",2.8,"crazy, no efforts, grading, impossible tests, racist rant, awful"
BEST professor.. 3 open book/open note tests.. lets u cheat.. doesnt take attendance after about first 2 weeks of class.. does a review before every test.. easy A [especially if u have smart friends =)],3.4,"BEST professor, cheat, easy A, smart friends"
"Good teacher, seems that we learn too much out of the book and not enough out of the class, but hey its just grammer. Very helpful prof if you ask him questions.",3.9,"Good teacher, helpful, knowledgeable, grammar."
