comments,star_rating,tags
"Top was absolutely amazing, I would take all of her classes if I had the time and money. She makes college fun and I love her to death.",5.0,"amazing, fun, love to death"
"He is a very intellectual man, but also a tremendous nerd. He really tries to humiliate his students in class, which is definitely wrong.",3.0,"intellectual, nerd, tries to humiliate"
"very helpful, she will make you love math",3.5,"helpful, love for subject"
well i dont have much to say about this guy but i will say hes a easy marker but u have to study on your own cuz he doesnt give notes or slides but its ok course if u dont know nothing about philsophy then stay away or at least away from him,2.8,"easy marker, independent study, philosophy"
"Homework isn\'t mandatory, which is nice. Does a lot of examples on the board, but makes a lot of mistakes. Is NOT a fair grader, taking off more points than necessary for small mistakes (especially considering how often he messes up on the board). Overall, he is a nice guy, though, and i would definitely take a class with him again.",4.1,"nice, examples, mistakes, fair grader, small mistakes, messes up, nice guy"
No Comments,4.3,NA
"Great guy, really cares about his students. Stick to the Biochem notes and you\'ll do fine. He curves so most people can pass with a C, but if you cant get at least a B- in his classes, you need to become a Business major. Attend lecture because he often cuts lots of material to study.",2.0,"caring, knowledgeable, helpful, curves grades, engaging, emphasizes lecture attendance"
"Not a bad teacher, just a tough subject although he can be hard to understand sometimes. You have to pay attention because he does not really review past lectures. If you miss classes chances are you wont do so well on the tests.",3.1,"tough, hard to understand, does not review, strict"
I think he\'s forgotten more than I\'ll ever learn in political theory. Where does he get his memory?,4.4,"knowledgeable, impressive, experienced"
No Comments,1.9,NA
"His lectures usually have nothing to do with the lesson nor do they relate to the textbook Tests are all or nothing, meaning you either get 25 points in a question or 0 points. One little mistake in code and you lose all points (I wish I was exaggerating). Your best bet is to hope his old tests make sense.",3.2,"- Unrelated lectures, 
- All or nothing tests, 
- Harsh grading, 
- Old tests helpful"
"Prof Phillips\'s class was pretty enjoyable to take. I had been dreading taking bio but she has made it an easy experience. I was in a blended class that met once a week for lab. So for our class she was a little easier with the deadlines, but she\'s really understanding. If you\'re not interested in doing a semester project, don\'t take the class.",4.1,"enjoyable, easy experience, understanding, not interested, semester project"
This is the worst professor I\'ve had in my entire college career. I am an A student but I\'ve never been so frustrated. He drones for 3 hours about nothing but expects us you to know everything (plus stuff he hasn\'t covered come test time). He is not helpful and is arrogant! The study guides for tests are also over 100 pages with uncovered material!,3.9,"worst, frustrated, drones, expects, arrogant, unhelpful, over 100 pages, uncovered material"
"Dr. Davis is nice enough, but she is unbelievably hard. Was pretty interested in Political Science prior to taking her class, but now, will never take another one. Really tough papers with very vague prompts. Avoid her FYS 102 at all costs.",3.5,"strict, tough, vague prompts, avoid"
Worst class I have ever taken at UNC. This is a pre req for med schools and dental schools and most people in there are taking this class for that reason. This class is extremely tough and they do not try to help or explain things well at all. If you can take it somewhere else do it! I made the mistake of taking it here and now have to repeat it.,3.0,"worst, tough, not helpful, repeat"
Course is listed as online but should be shown as hybrid because you have to go to campus for tests. Have to email her multiple times before receiving a response and by that point it is too late. Uninterested in helping students in anyway. Horrible at clarifying what needs to be done. If you take her course you will regret it.,3.0,"unresponsive, unhelpful, unorganized, regretful"
"Great teacher. He has an accent, but you can still understand him. Very funny aswell. EASY A+. Just do your classwork and homework and you\'re set.",4.0,"Great teacher, accent, understandable, funny, easy A+, classwork, homework"
She\'s great!,3.2,great
No Comments,3.6,NA
"As baller as they come. Laid back but always willing to help out the lost and confused. Teaches a v. lucid Methods class that moves along at a crisp pace, infusing practical-type material with nicely coherent conceptual binding. Also has a dope accent you will not be able to imitate, trust me. Class subheading: How To Save The World Using Surveys.",3.9,"friendly, helpful, laid back, lucid, practical, coherent, engaging"
dropped Chem cause of him.,2.6,NA
"The best professor I have ever taken. He is funny, knows his subject. If you want to get a nice grade, you have to take him if you get a chance. He is the best.",4.5,"funny, knowledgeable, best"
I had her for College Success. She is a great professor. She cares about her students. She does give a lot of busy work but it is not hard. We had to give 3 or 4 presentations during the semester. All quizzes were open book. I enjoyed this class. Got an A.,4.8,"great professor, cares about students, gives busy work, not hard, presentations, open book quizzes, enjoyed class, got an A"
I really liked the class. First time I did well in a science class. The tests were tough. The oral presentations were easy.,3.4,"liked, well, tough, easy"
"WARNING: DO NOT TAKE THIS CLASS. Dr. Wilson\'s class is too all over this place. His instructions are so unclear, he makes basic algebra seem like rocket science. he is very rude to his students at times. he doesn\'t care if you are on your phone. if you have to take him just show up, sit in the back and bring headphones.",3.7,"WARNING, all over the place, unclear instructions, rude, doesn't care, show up, sit in the back, headphones"
Rachel\'s class was transformative. She is real. She genuinely cares about her students and there are no topics off limits from her class discussions. Be ready to grow as a human being if you take her class. If you participate in discussions you will do well. She is fair and understanding and does not grade harsh. I loved her class!,4.2,"transformative, real, caring, open discussions, growth, fair, understanding, loved"
A professor who obviously loves her craft but shouldn\'t necessarily be teaching it to others.,3.7,"passionate, knowledgeable, inexperienced"
Great class! She helped me overcome my fear of public speaking. And she\'s soooo hot!,4.8,"Great, helpful, overcoming fear, public speaking, hot"
"Now, to finish my review from below...I sat in the back of the class room all semester and hardly ever spoke. I think it took him most of the semester to remember my name. I completed all of my essays and made a B in the class. Yes, his stories did get old, especially when he repeated them, but he is one of the best professors that I have had. A",2.9,"- Engaging
- Memorable
- Storyteller
- Best Professor"
"The guy is a complete ass. He is rude to his students, if you come in late, need to use the bathroom or ask a question he makes a scene. But it is an easy class. He wont tell you your grade tho- you should just know it. ?",3.6,"rude, easy class, NA"
best professor at john jay easy easy easy A all he recuires is a paper,2.9,"best, professor, easy A, paper"
She\'s a very nice teacher and is understanding and willing to help out if you don\'t get the material,3.6,"nice, understanding, helpful"
"I did not elect to seek Panos in his office hours, mainly because I had classes during all of his hours. This hurt my grade significantly as he does not clearly outline the expectations on the papers during class time. Had I gone to hours I likely wouldn\'t have had this issue.",4.1,"unapproachable, unclear expectations, hurt grade, missed office hours"
I am the worst student in the world when it comes to math but he really keeps it simple. He gives plenty of examples in class and helps you understand the material. The class is hard to begin with but I can finally say this is one math class I passed. He has an accent but it\'s not hard to understand him. Tip: Do the homework! It helps.,3.1,"simple, helpful, hard-working, understandable, accent, homework-oriented"
"Very easy class, but she can be a bit rude. Class consists of busy work and a few projects which you will have plenty of time to do.",4.4,"easy, rude, busy work, projects, plenty of time"
"I learned many things about health science from her class. Class discussion posts are confusing (hard to follow). She gives extra credits, so if you work hard you;ll be fine. Read the material carefully and do quiz. No textbook, everything is online.",4.7,"knowledgeable, confusing, extra credits, hardworking, online materials"
"He is a terrible professor. Some girls think he is hot, while some guys think he is cool. However, he is a rigid marker, a boring lecturer, and a cranky person. It\'s as if he gets off on trying to strike fear into some of his students.",4.0,"terrible, rigid, boring, cranky, intimidating"
"Get a second opinion if you see him for course advice. I know lots of students who had to come back for another year because he told them the wrong stuff. Good at teaching A & P, though!",3.7,"unreliable, cautionary, knowledgeable"
"He is hard of hearing, but very nice and understanding. He easily gets off topic, but is funny in his own way. We learned PHP and C# and you kinda have to teach yourself.",2.1,"hard of hearing, nice, understanding, off topic, funny, PHP, C#, teach yourself"
No Comments,4.5,NA
"One of the best professors you will every have. Organized and fun, will listen and help you understand. I recommend you take her for any class she teaches. You will learn.",5.0,"organized, fun, helpful, recommend, learn"
